# [O/H] (0-1), [N/O] (2)
#
-2.11	0.272	-0.33
-1.78	0.172	-1.08
-0.94	0.173 	-0.86
-1.42	0.113 	-0.06
-1.36	0.211	-0.61
-1.88	0.312	-0.02
-2.08 	0.322	-0.21
-0.53	0.161 	-0.52
-0.82	0.171 	-0.87
-1.00	0.151 	-0.75
-0.56	0.181 	-0.56
-1.29	0.171 	-0.77
-0.78	0.161	-0.56
-1.06	0.193	-0.77
-0.52	0.171 	-0.29
-1.58	0.151 	-0.84
-0.24	0.111 	-0.21
-0.63	0.101 	-0.14
-0.69	0.181 	-0.69
-0.74	0.121 	-0.12
-1.01	0.171 	-0.56
-0.74	0.171 	-0.58
-0.68	0.191 	-0.42
-0.80	0.201 	-0.25
-0.60	0.181	-0.35
-1.27	0.381 	-0.71
-0.71	0.121	0.06
